GEOID,population_density,population,median_age,below_poverty_level,median_income,average_household_size
12013010200,12.74058163,4320,44.79999924,721,34877,2.819999933
12011030705,7186.830432,4143,73.19999695,538,34925,1.590000033
12071070200,168.2925726,3451,63.79999924,394,51915,2.079999924
12085000700,3847.326582,3533,63.5,245,56125,1.940000057
12011080403,4905.812279,6841,39.29999924,1496,47634,2.950000048
12091023308,1402.849639,3273,48.5,262,87933,2.369999886
12011050307,13524.75437,7450,37.29999924,2038,32049,2.74000001
12086000209,12423.32271,9245,33.40000153,2459,31977,3.25
12103024906,5484.288833,4070,39.40000153,639,45435,2.579999924
12086009706,8361.999781,3602,44.79999924,475,47234,2.25
12087972300,9164.136907,2507,46.20000076,156,70625,2.119999886
12009064800,2907.255053,3142,45.09999847,576,33311,2.279999971
12086003915,18227.42041,5597,41.20000076,705,53399,2.440000057
12069030204,3501.803801,4729,35,1014,42500,2.839999914
12099005409,1449.877571,971,60.20000076,136,152500,2.299999952
12105013101,2435.840731,5006,44.59999847,218,87007,3.190000057
12111382110,2778.410083,7231,40.90000153,790,65142,3.230000019
12105015402,78.74523225,3874,37.79999924,461,51759,3.160000086
12127090102,41.8233547,3666,38.59999847,758,46406,3.109999895
12117022201,3917.347012,5422,35.29999924,630,50820,2.200000048
12103027209,6182.597901,1177,65.59999847,196,43438,1.429999948
12011050601,5034.090654,3587,46.20000076,269,68831,2.359999895
12075970301,13.56619056,1472,53.90000153,407,37191,2.130000114
12093910402,286.6360886,2748,31.29999924,937,45654,3.470000029
12009063104,1611.976993,4143,44.09999847,357,77778,2.779999971
12103024004,4340.037232,5373,48.29999924,77,127923,2.49000001
12057012106,946.4880435,5157,44.09999847,314,72909,2.849999905
12071040314,586.8916991,2990,31.20000076,452,50521,3.890000105
12011070313,3284.069504,11355,40.40000153,575,122042,3.420000076
12086003602,25422.5227,6933,45.09999847,1912,24467,2.119999886
12097041500,1127.719526,16355,37.5,1071,66755,3.470000029
12115000802,1821.364499,2548,72.69999695,71,116417,1.840000033
12031015600,3123.768583,3924,41.90000153,331,62260,2.269999981
12057006900,5224.582073,6124,41.79999924,380,71310,2.49000001
12057011413,3647.20502,5526,44.59999847,604,68796,2.630000114
12081000604,6397.423945,3632,43.40000153,898,35350,2.130000114
12081000503,5107.345704,3873,53.20000076,262,58485,2.380000114
12009065125,3860.711031,5881,49.79999924,713,44083,2.089999914
12031014604,2558.751427,5441,31.60000038,861,38801,2.099999905
12001001902,423.2494157,3259,49.20000076,1293,23036,1.779999971
12086006713,67647.7784,2549,34.29999924,118,100037,1.960000038
12086014600,20987.97854,8460,44.90000153,1716,42241,3.49000001
12086015000,7806.353931,9482,46.09999847,632,81354,3.630000114
12109021003,561.1197016,5963,36.5,1238,45521,2.930000067
12033003613,141.0615903,3858,44.09999847,257,73083,2.769999981
12083001302,164.7289359,6656,41.70000076,949,48171,2.779999971
12011041500,9828.295919,4405,31.60000038,1895,25970,2.910000086
12011060608,6884.356779,7132,39.90000153,503,66651,2.309999943
12055960700,1009.06162,3877,57.40000153,281,44207,2.299999952
12086013200,17054.76517,6095,46.09999847,954,52440,3.460000038
12086004602,2876.695899,3860,42.79999924,102,178750,3.599999905
12086003703,31852.69514,2011,34.29999924,190,100000,1.809999943
12109020200,1183.389075,2493,50.70000076,409,49851,2.00999999
12011043302,2327.742654,2175,35.70000076,573,36984,2.599999905
12131990000,NULL,0,NULL,0,NULL,NULL
12117022209,3919.971316,3818,44.79999924,220,74024,2.720000029
12086009905,7014.501531,5936,33,775,60616,4.519999981
12093910401,106.1766982,3672,51.79999924,711,43421,2.630000114
12115002710,2242.662431,2686,62,195,47083,2.25999999
12001002201,168.2299542,5717,37.70000076,679,65466,2.880000114
12086001801,9839.444928,5026,26.29999924,2259,40514,3.869999886
12057012701,3138.277184,7306,30,995,46731,3.299999952
